timestamp,volume,hour,day_of_week,is_weekend,is_holiday
2025-01-01 00:00:00,19,0,2,0,1
2025-01-01 01:00:00,9,1,2,0,1
2025-01-01 02:00:00,4,2,2,0,1
2025-01-01 03:00:00,4,3,2,0,1
2025-01-01 04:00:00,9,4,2,0,1
2025-01-01 05:00:00,31,5,2,0,1
2025-01-01 06:00:00,61,6,2,0,1
2025-01-01 07:00:00,97,7,2,0,1
2025-01-01 08:00:00,100,8,2,0,1
2025-01-01 09:00:00,91,9,2,0,1
2025-01-01 10:00:00,68,10,2,0,1
2025-01-01 11:00:00,102,11,2,0,1
2025-01-01 12:00:00,95,12,2,0,1
2025-01-01 13:00:00,73,13,2,0,1
2025-01-01 14:00:00,62,14,2,0,1
2025-01-01 15:00:00,84,15,2,0,1
2025-01-01 16:00:00,88,16,2,0,1
2025-01-01 17:00:00,107,17,2,0,1
2025-01-01 18:00:00,84,18,2,0,1
2025-01-01 19:00:00,59,19,2,0,1
2025-01-01 20:00:00,45,20,2,0,1
2025-01-01 21:00:00,34,21,2,0,1
2025-01-01 22:00:00,28,22,2,0,1
2025-01-01 23:00:00,21,23,2,0,1
2025-01-02 00:00:00,20,0,3,0,0
2025-01-02 01:00:00,8,1,3,0,0
2025-01-02 02:00:00,5,2,3,0,0
2025-01-02 03:00:00,5,3,3,0,0
2025-01-02 04:00:00,9,4,3,0,0
2025-01-02 05:00:00,30,5,3,0,0
2025-01-02 06:00:00,60,6,3,0,0
2025-01-02 07:00:00,80,7,3,0,0
2025-01-02 08:00:00,104,8,3,0,0
2025-01-02 09:00:00,85,9,3,0,0
2025-01-02 10:00:00,78,10,3,0,0
2025-01-02 11:00:00,89,11,3,0,0
2025-01-02 12:00:00,78,12,3,0,0
2025-01-02 13:00:00,72,13,3,0,0
2025-01-02 14:00:00,74,14,3,0,0
2025-01-02 15:00:00,84,15,3,0,0
2025-01-02 16:00:00,95,16,3,0,0
2025-01-02 17:00:00,139,17,3,0,0
2025-01-02 18:00:00,85,18,3,0,0
2025-01-02 19:00:00,67,19,3,0,0
2025-01-02 20:00:00,55,20,3,0,0
2025-01-02 21:00:00,42,21,3,0,0
2025-01-02 22:00:00,29,22,3,0,0
2025-01-02 23:00:00,21,23,3,0,0
2025-01-03 00:00:00,20,0,4,0,0
2025-01-03 01:00:00,10,1,4,0,0
2025-01-03 02:00:00,5,2,4,0,0
2025-01-03 03:00:00,5,3,4,0,0
2025-01-03 04:00:00,13,4,4,0,0
2025-01-03 05:00:00,27,5,4,0,0
2025-01-03 06:00:00,71,6,4,0,0
2025-01-03 07:00:00,83,7,4,0,0
2025-01-03 08:00:00,105,8,4,0,0
2025-01-03 09:00:00,98,9,4,0,0
2025-01-03 10:00:00,78,10,4,0,0
2025-01-03 11:00:00,79,11,4,0,0
2025-01-03 12:00:00,92,12,4,0,0
2025-01-03 13:00:00,94,13,4,0,0
